,repo,issues_opened,issues_closed,total_issues,pulls_opened,pulls_closed,total_pulls,n_commits,additions,deletions,total_changes
229,lcls-plc-test-tmo-motion-granite-3,0,0,0,0,0,0,1,5.0,8.0,13.0
230,twincat-ads-to-ca-bridge,0,0,0,0,0,0,0,0.0,0.0,0.0
231,lcls-plc-test-btps-prototype,0,0,0,0,0,0,0,0.0,0.0,0.0
232,all-deployed-iocs,0,0,0,0,0,0,303,4485.0,4254.0,8739.0
233,lcls-plc-txi-hxr-vac,0,0,0,0,0,0,15,52979.0,42082.0,95061.0
234,lcls-plc-txi-sxr-vac,0,0,1,0,0,0,7,68961.0,55329.0,124290.0
235,push-to-epics-slac-tools,0,0,1,0,0,0,0,0.0,0.0,0.0
236,ioc-gasCabinet,0,0,0,0,0,0,0,0.0,0.0,0.0
237,ioc-coolershaker,0,0,0,0,0,0,0,0.0,0.0,0.0
238,pspkg-etc,0,0,0,0,0,0,0,0.0,0.0,0.0
239,ecs-pydm-ui,0,0,0,0,0,0,27,3794.0,2312.0,6106.0
240,ioc-leyboldim540,0,0,0,0,0,0,0,0.0,0.0,0.0
241,epics-codeathon-2022-python,0,0,0,0,0,0,0,0.0,0.0,0.0
242,lcls-tmo-plc-led-test,0,0,0,0,0,0,0,0.0,0.0,0.0
243,pcds-envs-docker,0,0,0,0,0,0,0,0.0,0.0,0.0
244,ioc-inficonMPH,0,0,0,0,0,0,0,0.0,0.0,0.0
245,lcls-plc-dream-vac,0,0,0,0,0,0,2,37288.0,411.0,37699.0
246,nalms-kfe-cfg,0,0,0,0,0,0,0,0.0,0.0,0.0
247,accelerator_pvtable,0,0,0,0,0,0,0,0.0,0.0,0.0
248,btms-ui,0,0,0,0,0,0,0,0.0,0.0,0.0
249,lcls-plc-las-lps-01,0,0,0,0,0,0,0,0.0,0.0,0.0
250,ioc-tdkLambdaGen,0,0,0,0,0,0,0,0.0,0.0,0.0
251,lcls-plc-bergmann-kohzu,0,0,0,0,0,0,0,0.0,0.0,0.0
252,las-atef-config,0,0,0,0,0,0,0,0.0,0.0,0.0
253,pcds-nalms,0,0,0,0,0,0,4,110.0,528.0,638.0
254,epicsmacrolib,0,0,0,0,0,0,2,6.0,34922.0,34928.0
255,cxi-config,0,0,0,0,0,0,0,0.0,0.0,0.0
256,lcls-plc-cxi-fms,0,0,0,0,0,0,14,9505.0,2411.0,11916.0
257,pcds-local-ci-travis,0,0,1,0,0,0,0,0.0,0.0,0.0
258,l2si-beam-transport-system-displays,0,0,0,0,0,0,0,0.0,0.0,0.0
259,las-dispersion-scan,4,0,7,1,0,1,4,340.0,90.0,430.0
260,lcls-plc-mini-powermeter-calib,0,0,0,0,0,0,0,0.0,0.0,0.0
261,lcls-plc-txi-hxr-motion,1,0,1,1,0,1,6,118547.0,46756.0,165303.0
262,lcls-plc-txi-sxr-mot,0,0,0,0,0,0,0,0.0,0.0,0.0
263,pmpsdb_client,5,0,11,0,0,0,12,228.0,260.0,488.0
264,epics-log-squasher,0,0,6,0,0,1,0,0.0,0.0,0.0
265,ioc-kfe-at1k2-calc,0,0,0,0,0,0,0,0.0,0.0,0.0
266,lcls-plc-lamp-vac-1,0,0,0,0,0,0,0,0.0,0.0,0.0
267,pcds-ci-test-repo-python,0,0,6,0,0,5,0,0.0,0.0,0.0
268,pcds-python-migration-tools,3,0,5,0,0,0,2,4.0,4.0,8.0
269,pcds-ci-test-repo-twincat,0,0,1,0,0,1,1,136.0,2.0,138.0
270,pmps-db,0,0,3,0,0,1,0,0.0,0.0,0.0
